Nikkei_price,Nikkei_volume,Nikkei_volume_c,Nikkei_volume_f,NikkeiNAV,NikkeiETF_discrep,Nikkeibeta,NikkeiBullbeta,NikkeiBearbeta,CSI_price,CSI_volume,CSI_volume_c,CSI_volume_f,CSINAV,CSIETF_discrep,CSIbeta,CSIBullbeta,CSIBearbeta
10740,348086,45,0,1.4,-0.74,1.906903,2.525798,2.532814,7065,543162,18,0,0.8,-0.64,0.975391,0.941051,1.569928
10530,306269,1,0,0.95,0.05,1.915572,2.537141,2.532814,7260,583992,134,0,3.31,-1.18,0.98506,0.952507,1.569928
10300,318224,6,0,-1.53,-0.39,1.922128,2.537141,2.274898,7270,487464,60,0.17,-0.26,-0.78,0.993462,0.952507,1.564495
10325,318431,5,0,-2.3,-0.27,1.907792,2.686618,2.274898,7235,555619,95,0,-0.13,-1.12,1.005193,0.956977,1.587915
10415,318859,4,0,0.47,-0.5,1.907987,2.622173,2.274898,7270,481545,53,0,0.39,-1.03,1.009489,0.946022,1.59034
10460,302768,0,0,0.21,0.16,1.799049,2.296046,2.274898,7170,480351,0,0,-1.84,-0.57,1.001904,0.896304,1.561777
10405,300408,4,0,0.91,-0.31,1.765215,2.245307,2.274898,7130,500106,0,0,-0.86,-0.26,0.998231,0.89277,1.547307
10290,258090,0,0,-1.01,0.18,1.767127,2.245307,2.244893,7135,425026,3,0,0.08,-0.27,0.998423,0.89277,1.53071
10010,310954,0,0,-0.38,-0.55,1.775887,2.245307,2.242765,7140,438069,0,0,0.63,-0.83,0.999789,0.89277,1.532401
9885,311400,2,0,-3.54,0.29,1.708642,2.245307,1.829393,7080,473554,40,0,-2.58,0.95,0.989216,0.885259,1.478235
9920,308724,0,0,-1.05,0.09,1.717686,2.245307,1.826655,7015,604117,49,0,0.11,-0.09,0.989951,0.885259,1.474074
9630,305185,0,0,0.49,-0.05,1.712095,2.245307,1.850833,7075,590856,83,0,1.3,-0.53,0.991802,0.885259,1.479556
9720,316839,5,0,-3.2,0.24,1.762557,2.245307,1.974825,6955,519842,17,0,-0.55,-1.67,0.986397,0.885259,1.481546
9945,408652,102,0,1.08,0.1,1.765475,2.159259,1.974825,7015,525485,29,0,0.37,-1.19,0.989007,0.8604,1.481546
10045,508415,201,0,2.32,0.09,1.7601,2.105736,1.974825,7015,435677,10,0,-0.76,-0.43,0.989377,0.775093,1.481546
10025,320554,19,0,1.31,-0.21,1.762436,2.033546,1.974825,7015,436468,0,0,-0.45,0.01,0.989402,0.774787,1.481546
10110,306302,0,0,-0.75,0.35,1.743887,2.029145,1.974825,7040,414566,3,0,0.42,-0.05,0.994324,0.760955,1.481546
9290,300273,0,0,1.11,0.09,1.725875,2.029145,1.996248,6965,482607,30,0,-0.59,-0.53,0.987733,0.739616,1.474758
9500,317954,3,0,-7.92,-0.12,1.962122,2.029145,2.430165,6995,457248,25,0,0.93,-1.02,0.929535,0.754339,1.254294
9545,4445,0,0,2.41,-0.27,1.968526,1.893009,2.430165,7010,442376,13,0,1.13,-1.91,0.94184,0.665718,1.244197
9700,9857,0,0,0.14,0.06,1.962799,1.891935,2.430165,7050,438939,1,0,-0.62,-0.74,0.942368,0.66498,1.244197
9740,14724,7,0,1.58,0.11,1.953242,1.880813,2.430165,7010,465678,14,0,-0.45,-0.85,0.916217,0.65166,1.209388
9775,6740,2,0,0.07,0.45,1.936105,1.856291,2.430165,7010,427679,12,0,-0.39,-0.46,0.901132,0.648508,1.209388
9810,329609,0,0,0.64,0.17,1.90907,1.802702,2.430165,7020,669870,6,0,-0.73,0.41,0.897,0.640214,1.209388
9710,333510,2,0,0.6,-0.07,1.906115,1.804512,2.430165,7080,658795,12,0,1.63,-0.36,0.911436,0.605878,1.247106
9530,314492,2,0,-0.69,-0.4,1.909094,1.804512,2.421721,7070,651993,10,0,0.71,-1.2,0.911213,0.605878,1.247163
9515,545670,200,0,-1.91,-0.34,1.829154,1.804512,2.19895,7130,804061,175,35.3,0.87,-1.22,0.889693,0.605878,1.204363
9425,332799,3,0,-0.6,0.1,1.778641,1.660902,2.19895,7090,729400,64,0,-0.69,-1.09,0.877546,0.591565,1.204187
9800,332384,2,0,-1.07,0.22,1.77647,1.660902,2.198544,7090,644226,8,0,0.16,-1.25,0.849588,0.591565,1.160176
9970,534525,12,0,3.93,0.26,1.828064,1.853915,2.198544,7110,687152,25,0,-0.86,-0.11,0.82877,0.687509,1.160176
10140,555555,6,0,2.56,-0.54,1.832136,1.775938,2.198544,7120,714650,17,0,2.13,-2.06,0.82885,0.686152,1.160176
10150,338936,5,0,0.67,0.48,1.839363,1.790592,2.198544,7235,663298,33,2.2,0.42,-0.89,0.827575,0.669254,1.160176
10240,305157,1,0,0.9,-0.32,1.83902,1.791829,2.198544,7200,686667,28,2.16,-1.01,-0.37,0.826004,0.675913,1.185399
10290,983850,503,0,0.74,-0.18,1.840642,1.789035,2.198544,7155,683056,19,0,-0.12,-0.87,0.838299,0.683391,1.185399
10350,358779,0,0,0.01,0.3,1.841375,1.778275,2.198544,7160,578496,28,0,-0.45,-0.35,0.848114,0.682321,1.174586
10300,412801,4,0,1.13,-0.25,1.835776,1.778275,2.2136,7100,598986,8,0,-0.54,-0.65,0.848724,0.682321,1.167469
10380,417024,1,0,-0.21,-0.52,1.836439,1.778275,2.198859,7115,583609,4,0,0.38,-0.82,0.848841,0.682321,1.168127
10300,348298,3,0,0.61,-0.36,1.831618,1.778275,2.217136,7135,614838,27,0,0.25,-0.78,0.843016,0.689452,1.170953
10320,332786,1,0,-0.94,-0.18,1.833098,1.778275,2.198122,7105,602544,5,0,-0.88,-0.32,0.839674,0.689452,1.161683
10220,398808,2,0,-0.06,0.07,1.83321,1.771072,2.198122,7115,651605,27,0,0.23,-0.4,0.84861,0.722782,1.172559
10375,263754,2,0,-1.37,0.48,1.797916,1.709114,2.198122,7150,640211,3,0.01,1.02,-0.92,0.848463,0.722916,1.172559
10235,381990,22,0,1.78,0.22,1.79206,1.709114,2.23191,6990,667700,8,0,-1.69,-1.47,0.842642,0.722916,1.17154
10190,283031,30,0,-1.31,0.18,1.796733,1.709114,2.213182,7000,867531,109,0,-0.48,-0.86,0.842707,0.618424,1.173161
10275,327783,2,0,0.81,-1.06,1.796319,1.709114,2.211551,7015,635556,1,0,-0.64,0,0.84253,0.618424,1.164967
10130,349147,2,0,0.25,-0.48,1.792387,1.70611,2.211551,6925,494955,23,0,-1.63,0.35,0.852831,0.617273,1.184093
9985,465807,4,0,-1.46,-0.43,1.79716,1.70611,2.214303,6880,472380,3,0,0.31,-0.61,0.853143,0.617273,1.183653
10070,480462,0,0,-1.86,0.01,1.776745,1.70611,2.166202,6940,529222,1,0,1.02,-0.76,0.828841,0.617273,1.142298
10100,510108,2,0,1.04,-0.18,1.779016,1.691725,2.166202,6915,519184,46,0,-0.2,-0.92,0.812561,0.595482,1.142298
10355,396621,3,0,0.03,0.09,1.757289,1.644083,2.166202,6920,413020,7,0,-0.15,-0.7,0.810489,0.572809,1.142298
10410,264508,1,0,2.37,0.25,1.77548,1.67018,2.166202,6930,440453,0,0,0.45,-1,0.815241,0.572738,1.129825
10395,437649,27,0,0.66,0.12,1.769491,1.664998,2.166202,6960,468603,44,0,0.46,-1.04,0.815323,0.572709,1.129825
10350,418650,6,0,-0.06,0.04,1.769489,1.669874,2.166202,6945,456615,9,0,-1.09,-0.16,0.821773,0.576596,1.111018
10500,370469,0,0,0.04,-0.44,1.767155,1.690131,2.166202,6980,478508,52,0,0.3,0.04,0.826712,0.572516,1.114924
10315,427465,2,0,1.01,0,1.768215,1.62832,2.166202,7015,415599,9,0,2.04,-1.47,0.826377,0.566496,1.115252
10370,361344,0,0,-1.85,0.09,1.773339,1.62832,2.133078,7200,462684,70,61.42,1.74,-0.59,0.826235,0.560425,1.142335
10220,406987,17,0,0.97,-0.34,1.768806,1.62832,2.145008,7260,384063,33,2.52,1.27,-1.02,0.825486,0.560425,1.150635
10285,337369,0,0,-1.51,-0.28,1.74352,1.60752,2.145008,7285,442391,84,2.17,-0.26,-0.43,0.817286,0.560446,1.150923
10275,367792,0,0,0.33,0.03,1.74343,1.576067,2.145008,7315,414993,8,0,0.7,-0.72,0.80682,0.555249,1.140679
10260,394898,0,0,0.32,-0.39,1.726577,1.576067,2.127137,7270,448503,0,0,-0.18,-1.15,0.783996,0.555249,1.084997
10290,422058,7,0,-0.56,0.02,1.721683,1.582693,2.127137,7240,451181,14,0,-0.64,-0.92,0.782787,0.5593,1.084997
10240,429106,23,0,0.52,-0.21,1.715753,1.582693,2.133518,7245,463546,100,0,0.08,-0.93,0.691602,0.5593,0.841048
10150,387799,0,0,-0.23,-0.46,1.716286,1.582693,2.118581,7150,488454,20,0,-1.25,-1,0.718404,0.597762,0.824644
10255,373880,2,0.36,-1.08,-0.26,1.718353,1.582693,2.113299,7130,478170,2,0,-0.32,-0.96,0.73347,0.638789,0.823938
10310,396203,1,0,2.28,-1.47,1.709707,1.582693,2.128195,7140,433367,3,0,0.8,-1.61,0.723275,0.595094,0.826237
10400,325499,0,0,-0.07,-0.87,1.709565,1.58197,2.128195,7150,439741,11,0,-0.3,-1.17,0.723064,0.595966,0.826237
10395,71599,1,0,0.88,-0.87,1.702042,1.58197,2.140995,7140,490182,2,0,-0.01,-1.3,0.724447,0.579336,0.826428
10475,3639,3,0,0.27,-1.19,1.701632,1.58197,2.13925,7215,1095248,705,0,-0.09,-0.18,0.718866,0.579336,0.829507
10515,1254,1,7.14,-0.02,-0.4,1.70329,1.573143,2.13925,7120,537408,1,0,-0.23,-1.27,0.716629,0.588872,0.829507
10540,1133,1,0.11,0.6,-0.62,1.676045,1.503145,2.13925,7135,1252039,773,0,-0.75,-0.32,0.698251,0.60745,0.796682
10420,18,0,0,0.27,-0.65,1.674869,1.505758,2.13925,7155,500703,7,0,0.62,-0.66,0.698378,0.606975,0.796682
10400,331,0,0,-0.42,-1.36,1.678443,1.505758,2.128761,7095,538349,9,0,-1.17,-0.33,0.702649,0.606975,0.765789
10510,7645,7,0,-0.29,-1.27,1.678193,1.515072,2.128761,7070,572591,53,0,0.18,-0.86,0.706223,0.613412,0.750105
10295,133,0,0,0.09,-0.32,1.601527,1.515072,1.960065,7100,562322,3,0,-0.28,-0.16,0.648668,0.39955,0.728342
10390,1886,2,16.48,-1.73,-0.63,1.538272,1.515072,1.76345,7010,484469,1,0,-0.5,-0.93,0.642208,0.413031,0.700771
10330,101,0,0,0.37,-0.09,1.540435,1.512004,1.76345,7010,570737,2,0,0.45,-1.37,0.641672,0.414845,0.700771
10265,119,0,0,-1.31,0.65,1.516353,1.454647,1.76345,7050,593888,4,0,0.2,-1,0.663935,0.511185,0.70313
10400,28,0,0,-0.15,0.18,1.506044,1.45289,1.76345,7120,591965,36,0,0.09,-0.11,0.666091,0.509282,0.70313
10365,875,0,0,2.05,-0.55,1.510741,1.45475,1.76345,7080,508583,6,0,0.25,-0.91,0.678542,0.511396,0.736422
10300,108,0,0,0,-0.88,1.497046,1.432135,1.76345,7040,533782,1,0,-0.73,-0.75,0.665232,0.488276,0.736422
10225,251,0,0,-0.47,-1.03,1.494464,1.453268,1.76345,7075,1140794,576,0,-0.53,0.28,0.663001,0.484074,0.733211
10360,136,0,0,-1.18,-0.58,1.49546,1.453268,1.761849,7005,1629826,1001,0,-1.07,0.36,0.662513,0.481713,0.740677
10245,64,0,0,0.83,-0.1,1.498195,1.461826,1.761849,6945,1059958,576,0,-0.48,-0.03,0.655829,0.471928,0.740677
10415,661,0,0,-0.72,-0.49,1.501012,1.461826,1.762188,6950,673846,141,0,-0.23,0.28,0.654422,0.471928,0.741514
10310,1432,1,0,1.44,-0.28,1.507645,1.478874,1.762188,6995,528158,7,0,0.65,0.27,0.655321,0.473446,0.741514
10420,1,0,0,-1.47,0.19,1.490616,1.478874,1.727052,6980,545946,27,0,0.46,-0.4,0.645933,0.46094,0.731532
10500,2264,2,0,1.7,-0.43,1.492992,1.481045,1.727052,7035,520801,18,0,0.62,-0.24,0.659878,0.479591,0.730417
10600,19329,8,0,0.54,-0.21,1.491141,1.481045,1.740897,6990,555933,2,21.18,0.5,-1.37,0.659128,0.481478,0.72427
10475,19070,19,0,0.45,0.29,1.49201,1.48285,1.740897,7020,482844,1,28.18,-0.05,-0.89,0.654649,0.478883,0.72427
10475,501,0,0,-0.19,-0.7,1.494808,1.48285,1.742496,7045,497854,8,21.07,0.26,-0.8,0.645102,0.468753,0.724364
10575,568,0,0,0,-0.7,1.494505,1.486302,1.742496,7070,495658,2,3.59,0.06,-0.51,0.65045,0.470493,0.724364
10510,28,0,0,0.94,-0.68,1.44237,1.486302,1.643784,7130,478796,6,0,1.28,-0.94,0.636859,0.470493,0.699482
10540,764,1,0,-0.97,-0.33,1.44171,1.508896,1.643784,7140,442312,4,0,-0.01,-0.78,0.635571,0.504025,0.699482
10585,758,1,0,-0.41,0.37,1.419734,1.508896,1.612765,7170,500183,21,0,0.97,-1.32,0.629455,0.504025,0.691547
10615,44,0,0,0.43,0.36,1.419416,1.508731,1.612765,7185,494061,8,0,-0.2,-0.92,0.630107,0.504158,0.691092
10610,553,0,0,0.27,0.38,1.419266,1.507843,1.612765,7185,391417,5,0,-0.39,-0.54,0.634246,0.517006,0.689497
10610,2298,0,0,0.34,-0.01,1.411047,1.495503,1.612765,7165,230588,21,0,0.45,-1.26,0.631499,0.515009,0.689497
10730,1042,1,0,0.23,-0.24,1.411048,1.491745,1.612765,7160,173683,4,0,-0.7,-0.63,0.631477,0.505848,0.689497
10730,1961,2,0,1.33,-0.43,1.410263,1.491745,1.633573,7155,187953,5,0,0.5,-1.2,0.632815,0.503974,0.688772
10730,241,0,0,-0.15,-0.28,1.407096,1.491745,1.635531,7185,183780,16,0,0.63,-1.41,0.633411,0.474743,0.6918
10815,473,0,0,0.25,-0.54,1.396905,1.470605,1.635531,7280,205278,21,0,0.68,-0.78,0.636243,0.458822,0.704591
10915,31,0,0,0.74,-0.49,1.384833,1.470605,1.632684,7300,277370,72,0,0.09,-0.6,0.634037,0.458822,0.705337
10790,449,0,0,0.11,0.32,1.343228,1.470605,1.556806,7250,234877,13,0,-0.21,-1.07,0.630224,0.467643,0.703891
10870,60,0,0,-0.23,-0.59,1.330605,1.465298,1.556806,7260,285778,81,0,0.36,-1.3,0.629221,0.467955,0.708031
10855,1978,2,0,0.61,-0.46,1.326823,1.465298,1.566664,7285,178953,9,0,0.1,-1.05,0.627964,0.467955,0.71923
10860,46,0,0,-0.1,-0.5,1.321996,1.465298,1.564903,7255,189752,8,0,-0.05,-1.41,0.627745,0.467955,0.716529
10680,73,0,0,0.06,-0.51,1.321921,1.465298,1.562799,7310,2414367,2108,0,0.15,-0.81,0.627538,0.467955,0.72566
10685,3177,3,0.12,-1.74,-0.43,1.317844,1.465298,1.549412,7310,733980,429,0,0.3,-1.11,0.619622,0.464474,0.707479
10610,1,0,0,0.01,-0.39,1.316924,1.468547,1.549412,7315,431325,8,0,0.11,-1.15,0.629206,0.473772,0.707479
10680,1557,1,0,-1.32,0.23,1.317726,1.468547,1.536675,7340,462410,4,0,-0.06,-0.76,0.626005,0.499938,0.711443
10705,92,0,0,1.67,-0.76,1.313767,1.459341,1.536675,7305,464347,81,0,-0.12,-1.11,0.629503,0.491848,0.660709
10215,6,0,0,-0.09,-0.44,1.313214,1.459937,1.536675,7310,384700,4,0,-0.3,-0.74,0.629362,0.493135,0.660709
10900,4245,1,0,-5.41,0.44,1.359661,1.459937,1.622386,7305,555167,146,0,0.82,-1.61,0.626751,0.493135,0.622679
10880,2625,2,0,6.44,0.69,1.457118,1.888654,1.622386,7445,558589,112,0,0.89,-0.62,0.63743,0.537533,0.628681
11085,2505,0,0,0.28,0.23,1.444899,1.888654,1.606696,7560,1744608,1277,0,1.69,-0.76,0.625313,0.514356,0.614147
11075,1790,0,0,1.65,0.46,1.42923,1.888654,1.606854,7600,438174,96,0,0.67,-0.9,0.620349,0.514356,0.603982
11180,2983,3,0,-0.06,0.43,1.427675,1.888654,1.608066,7585,418922,9,0,-0.41,-0.69,0.620232,0.514356,0.604414
11155,31,0,0,1.01,0.37,1.427918,1.889555,1.608066,7610,383711,13,0,-0.32,-0.05,0.625186,0.5143,0.615145
11250,1212,1,0,0.08,0.06,1.42778,1.889149,1.608066,7555,366854,2,0,0.69,-1.45,0.611911,0.494909,0.615145
11255,3731,4,0,0.55,0.36,1.423275,1.889149,1.616025,7600,2141350,1703,0,-0.14,-0.73,0.610055,0.494909,0.630353
11290,257,0,0,0.76,-0.35,1.420122,1.889149,1.617219,7630,389298,33,0,0.78,-1.11,0.61817,0.528699,0.632684
11290,1424,1,0,0.32,-0.35,1.410088,1.861997,1.617219,7680,414325,29,0.92,0.07,-0.54,0.618976,0.530511,0.632684
11480,129,0,0,0.01,-0.36,1.409203,1.863745,1.617219,7680,387615,16,0,0.17,-0.7,0.619812,0.533378,0.632684
11465,149,0,0,0.87,0.45,1.38179,1.863745,1.583539,7710,887218,414,0.77,0.31,-0.62,0.618841,0.535731,0.627394
11400,18,0,0,0.17,0.15,1.381066,1.866105,1.583539,7730,1665976,1254,0,0.91,-1.26,0.619422,0.533777,0.626389
11440,345,0,0,-0.11,-0.31,1.379287,1.877574,1.583539,7820,459657,54,0,0.1,-0.21,0.621958,0.526833,0.660702
11460,1776,0,0,-0.28,0.32,1.379305,1.857677,1.583539,7860,864763,415,78.41,0.69,-0.39,0.622025,0.518213,0.660702
11550,748,0,0,0.14,0.36,1.378662,1.857435,1.583539,7835,2010379,1551,0,-0.66,-0.04,0.618768,0.523473,0.6566
11420,50,0,0,0.77,0.38,1.378698,1.826066,1.583539,7850,474962,29,0,0.55,-0.4,0.614746,0.502754,0.6566
11355,249,0,0,-0.42,-0.34,1.380685,1.826066,1.58567,7840,369038,7,0,-0.43,-0.1,0.618624,0.502754,0.659516
11450,31567,12,0,-0.67,-0.24,1.381144,1.826066,1.584242,7675,403314,4,0,-1.57,-0.65,0.627501,0.502754,0.6504
11550,13486,2,0,0.57,0.02,1.365126,1.756029,1.584242,7720,366128,4,0,-0.41,0.34,0.625336,0.498288,0.6504
11665,5231,5,0,0.64,0.26,1.365825,1.734268,1.584242,7660,368795,0,0,-0.11,-0.33,0.626849,0.512053,0.650013
11815,22,0,0,1.5,-0.24,1.329753,1.565432,1.584242,7640,415108,4,0,-0.77,0.18,0.603764,0.450211,0.646826
11910,1990,2,0,1.26,-0.21,1.323815,1.565432,1.594586,7680,356581,6,0,0.92,-0.21,0.602249,0.450211,0.647671
11955,898,0,0,0.84,-0.25,1.324481,1.550207,1.594586,7510,612662,192,2.08,-2.38,-0.05,0.599605,0.489492,0.64976
12030,924,1,8.95,0.39,-0.27,1.323429,1.550545,1.594586,7510,392018,1,0,-0.04,-0.01,0.599011,0.490409,0.64976
11995,50,0,0,0.01,0.35,1.323546,1.533662,1.594586,7500,412511,4,0,-0.49,0.35,0.604376,0.493374,0.658526
12095,33,0,0,0.14,-0.08,1.323662,1.533662,1.584198,7390,473526,23,0,-1,-0.12,0.601454,0.511404,0.64021
12090,263,0,0,0.61,0.14,1.324787,1.527474,1.584198,7390,396512,10,0,0.48,-0.6,0.620244,0.577603,0.64021
12110,5,0,0,0.01,0.09,1.324433,1.527474,1.583695,7380,430614,13,0,-0.16,-0.57,0.616538,0.582815,0.633905
12055,451,0,0,0.58,-0.32,1.324246,1.526626,1.583695,7325,464676,31,0,-0.23,-1.09,0.615688,0.592775,0.633905
12010,1188,0,0,-0.25,-0.52,1.324816,1.526626,1.578911,7425,424548,5,0,1.01,-0.74,0.610549,0.605176,0.646928
12040,143,0,0,-0.15,-0.74,1.325203,1.526626,1.572198,7500,721013,217,0,0.4,-0.14,0.611148,0.605741,0.658343
12100,429,0,0,0,-0.49,1.325176,1.517329,1.572198,7450,409610,0,0,-0.61,-0.19,0.608673,0.624229,0.658343
12030,316,0,0,-0.17,0.18,1.325417,1.507584,1.572198,7480,175542,2,0,0.3,-0.09,0.605236,0.617705,0.662129
12095,8754,0,0,0.03,-0.43,1.323528,1.517359,1.572198,7475,235416,11,0,0.4,-0.56,0.605041,0.61892,0.662129
11990,106,0,0,0.21,-0.11,1.308253,1.517359,1.550706,7515,404812,1,0,-0.18,0.15,0.590716,0.61892,0.640275
11870,449,0,0,-1.42,0.45,1.307387,1.533376,1.550706,7510,416814,15,0,-0.33,0.41,0.591331,0.606584,0.640275
11975,10117,8,6.96,-0.1,-0.46,1.307751,1.533376,1.529508,7460,382250,1,0,0.45,-0.7,0.592492,0.606584,0.628557
12150,596,0,0,-0.02,0.44,1.304983,1.527247,1.529508,7530,502015,9,0,0.44,-0.21,0.595257,0.612308,0.628557
12150,852,1,0,2.58,-0.66,1.305785,1.498829,1.529508,7560,398821,6,0,1.08,-0.89,0.532382,0.606037,0.470514
12200,1127,0,0,-0.45,-0.21,1.30539,1.498829,1.529581,7615,380275,14,0,-0.66,0.5,0.532634,0.607166,0.478166
12210,208,0,0,-0.37,0.58,1.305059,1.498708,1.529581,7565,433120,11,0,-0.69,0.53,0.533956,0.611789,0.467653
12045,7,0,0,0.01,0.65,1.305036,1.498708,1.526963,7590,493253,68,0,1.79,-0.91,0.470743,0.597972,0.384793
12060,651,0,0,-0.69,-0.03,1.307489,1.498708,1.513019,7570,447987,3,0,-1.22,0.05,0.470988,0.597972,0.383636
11935,317,0,0,0.3,-0.2,1.280427,1.407693,1.513019,7540,393596,13,0,-0.54,0.19,0.448568,0.561169,0.361589
